record_id,plant_scientific_name,plant_common_name,plant_family,primary_alkaloid,primary_flavonoid,primary_terpenoid,primary_glycoside,alkaloid_pct,flavonoid_pct,terpenoid_pct,glycoside_pct,concentration_std,geographic_origin,latitude,longitude,altitude,collection_year,harvest_month,measurement_method,temperature,rainfall,soil_pH,soil_N,soil_P,soil_K,reference_pmid,reference_year
11,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,3.7985,4.542,2.5192,1.3712,0.168,"Western Ghats, Karnataka",12.583,75.7482,952.6,2019,1,HPLC,21.2,1518.7,5.24,107.1,27.4,195.5,33675480,2017
12,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,4.3477,7.4009,2.9356,0.9568,0.102,"Nilgiri Hills, Tamil Nadu",11.6331,76.913,2032.4,2007,8,HPLC,20.6,2479.4,4.74,87.7,24.4,171.0,30610964,2006
13,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,Zingiberene,Turmerin,3.5849,3.6816,2.5024,1.3561,0.316,"Nilgiri Hills, Tamil Nadu",11.045,76.8485,1942.1,2018,12,HPLC,12.6,814.0,5.6,85.6,26.0,183.0,30588485,2017
14,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,Zingiberene,Turmerin,3.3935,5.3307,2.2996,1.3363,0.364,"Nilgiri Hills, Tamil Nadu",11.633,77.109,2290.1,2017,2,HPLC,10.6,1128.4,4.8,110.2,16.0,177.7,30396238,2017
15,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,ar-Turmerone,Turmerin,3.6283,5.0316,2.7092,1.0874,0.204,"Nilgiri Hills, Tamil Nadu",11.5132,77.1954,1535.6,2016,10,HPLC-MS,20.8,1829.0,4.79,105.3,23.9,161.5,30750524,2015
16,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,4.4862,5.2915,3.1877,1.3124,0.251,"Nilgiri Hills, Tamil Nadu",11.0099,77.6561,2029.5,2017,4,HPLC,18.9,1627.6,5.35,106.4,23.7,216.2,30499941,2015
17,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,beta-Sesquiphellandrene,Turmerin,3.6929,5.9774,2.768,1.06,0.2,"Nilgiri Hills, Tamil Nadu",11.4331,76.571,2430.6,2014,10,HPLC,16.1,1378.0,4.75,123.4,19.8,190.6,30477000,2013
18,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,3.7992,4.4603,2.4386,1.3906,0.137,"Nilgiri Hills, Tamil Nadu",11.8169,77.0131,2080.1,2009,12,UV-Vis Spectroscopy,16.0,1015.8,4.88,103.1,20.1,198.6,30530408,2009
19,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,Zingiberene,Turmerin,3.5277,6.1452,3.2195,1.3087,0.134,"Nilgiri Hills, Tamil Nadu",11.7371,77.343,1880.1,2014,10,HPLC,18.4,1614.6,4.8,111.7,19.3,163.5,30605533,2014
20,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,ar-Turmerone,Turmerin,3.5093,5.0568,2.7846,1.0865,0.398,"Nilgiri Hills, Tamil Nadu",11.4611,77.0463,1832.9,2011,9,HPLC,17.9,2138.2,4.95,122.3,27.4,162.4,30547543,2011
21,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,4.2198,5.7235,3.2125,1.07,0.282,"Nilgiri Hills, Tamil Nadu",11.0687,76.9285,1807.8,2005,6,HPTLC,18.6,2473.9,4.91,100.5,21.9,174.7,30691558,2005
22,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,Zingiberene,Turmerin,3.5655,6.5626,3.6,1.3418,0.476,"Nilgiri Hills, Tamil Nadu",11.4652,77.0601,2635.6,2020,7,HPLC-MS,26.3,2194.5,4.75,92.8,9.4,169.5,30513403,2020
23,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,ar-Turmerone,Turmerin,3.5791,6.9231,3.55,1.22,0.322,"Ernakulam, Kerala",10.5054,75.7809,127.1,2009,7,HPLC-MS,33.6,4000.0,5.37,134.1,29.9,247.4,22670934,2007
24,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,ar-Turmerone,Turmerin,4.4783,7.0319,3.3476,1.3553,0.417,"Ernakulam, Kerala",9.8547,76.165,151.1,2018,9,GC-MS,27.4,3403.4,5.82,148.5,25.9,213.9,22561486,2017
25,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,3.5119,3.335,2.934,1.3755,0.159,"Ernakulam, Kerala",9.831,77.0618,189.8,2018,2,GC-MS,22.1,1885.7,5.51,149.3,36.4,202.6,22683509,2018
26,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,beta-Sesquiphellandrene,Turmerin,2.4299,5.4907,1.9067,1.4331,0.489,"Ernakulam, Kerala",10.1604,76.2956,159.8,2009,2,HPLC-MS,20.4,2186.6,5.61,113.5,32.4,178.7,22862219,2009
27,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,ar-Turmerone,Turmerin,4.0671,5.8999,3.1078,1.1703,0.495,"Ernakulam, Kerala",9.5903,76.4512,94.8,2014,6,GC-MS,32.9,3285.3,5.44,130.7,18.6,218.0,22908499,2014
28,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,2.8253,5.338,2.8085,1.3306,0.136,"Ernakulam, Kerala",9.9337,76.5399,123.5,2018,10,GC-MS,27.3,3147.3,5.42,131.5,34.3,229.4,22486017,2016
29,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,4.3431,3.9204,1.9868,1.3627,0.342,"Ernakulam, Kerala",9.5318,76.362,102.5,2014,3,HPLC-MS,21.3,2077.9,6.15,148.8,32.8,261.7,22714973,2013
30,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,Zingiberene,Turmerin,4.2052,6.2329,3.1125,1.2055,0.472,"Ernakulam, Kerala",10.2519,76.1916,108.1,2010,6,HPLC-MS,30.4,3569.3,5.32,119.6,30.2,203.4,22710947,2009
31,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,Zingiberene,Turmerin,2.8924,5.2116,2.676,1.7551,0.319,"Ernakulam, Kerala",10.613,76.7859,166.7,2010,10,HPLC,25.9,2439.2,4.96,110.5,30.2,225.2,22626024,2009
32,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,3.1143,3.6876,2.2552,1.4278,0.181,"Ernakulam, Kerala",9.5167,75.8799,131.5,2012,2,HPLC-MS,26.3,1643.5,5.44,131.9,32.3,232.9,22870617,2012
33,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,Zingiberene,Turmerin,2.3866,6.7012,3.4093,1.3399,0.317,"Ernakulam, Kerala",9.9045,76.2043,147.2,2008,9,HPLC,31.1,3161.7,5.78,127.0,36.5,206.5,22825509,2006
34,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,Zingiberene,Turmerin,4.4407,7.4948,2.8518,1.336,0.402,"Dehradun, Uttarakhand",30.2343,77.9398,488.8,2023,8,HPTLC,24.0,1934.6,6.5,122.7,24.4,221.7,25759693,2021
35,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,Zingiberene,Turmerin,4.4891,6.3236,2.5432,1.0088,0.334,"Dehradun, Uttarakhand",30.3261,78.2158,485.1,2019,8,HPLC-MS,22.0,1793.6,6.33,121.6,26.9,217.7,25747251,2018
36,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,Zingiberene,Turmerin,4.8399,6.4467,2.6813,1.2428,0.435,"Dehradun, Uttarakhand",30.7488,79.2337,712.3,2019,8,GC-MS,28.0,1946.3,6.57,115.3,23.3,167.2,25573228,2018
37,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,beta-Sesquiphellandrene,Turmerin,3.2981,6.4331,3.1209,1.4486,0.171,"Dehradun, Uttarakhand",29.9295,78.1702,814.4,2019,9,UV-Vis Spectroscopy,21.5,1501.9,6.7,115.7,28.6,185.8,25866875,2018
38,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,3.8221,4.6442,1.635,1.3964,0.271,"Dehradun, Uttarakhand",30.2885,77.6909,666.4,2005,1,HPLC-MS,14.9,953.2,6.3,102.1,24.2,190.3,25829798,2005
39,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,Zingiberene,Turmerin,5.586,6.4285,3.1527,1.1812,0.358,"Dehradun, Uttarakhand",30.1299,78.8387,1244.1,2020,8,HPLC-MS,24.5,1610.1,6.71,112.8,31.1,159.3,25887634,2018
40,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,Zingiberene,Turmerin,3.5537,7.2257,3.0136,1.1602,0.156,"Dehradun, Uttarakhand",30.2335,78.3914,662.6,2022,7,HPLC,25.9,1954.5,6.29,101.3,22.5,187.4,25479091,2022
41,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,Zingiberene,Turmerin,4.6043,6.1038,2.9285,1.0956,0.479,"Dehradun, Uttarakhand",29.792,78.2298,737.7,2005,7,UV-Vis Spectroscopy,24.9,1999.5,6.76,116.3,23.3,160.0,25850365,2005
42,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,ar-Turmerone,Turmerin,3.2456,6.3944,2.6394,1.4964,0.209,"Dehradun, Uttarakhand",30.6047,78.3365,779.8,2014,8,GC-MS,25.3,1907.8,6.48,93.9,30.5,191.8,25602613,2013
43,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,Zingiberene,Turmerin,2.9887,5.8599,3.3399,1.5213,0.167,"Dehradun, Uttarakhand",30.3588,78.2065,782.1,2010,10,HPLC,18.4,1249.9,6.59,104.9,18.8,208.2,25562102,2009
44,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,4.753,4.3882,2.3355,1.2971,0.338,"Dehradun, Uttarakhand",30.3771,78.3956,729.6,2008,3,HPLC-MS,17.6,872.6,6.22,93.8,17.1,211.1,25639516,2006
45,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,Zingiberene,Turmerin,5.147,5.2075,2.4081,1.2594,0.393,"Bhopal, Madhya Pradesh",23.4984,77.8024,323.3,2006,5,HPLC,29.0,1144.9,6.4,109.9,16.5,161.1,31851167,2005
46,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,beta-Sesquiphellandrene,Turmerin,3.5484,7.7277,2.7145,1.128,0.269,"Bhopal, Madhya Pradesh",23.803,78.1679,531.1,2020,6,HPTLC,31.4,1609.6,6.84,85.4,20.5,169.3,32018175,2019
47,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,ar-Turmerone,Turmerin,3.805,6.2467,2.998,1.236,0.308,"Bhopal, Madhya Pradesh",23.6971,78.2375,445.0,2014,7,HPLC,29.0,1571.5,6.66,84.8,18.5,184.4,31945180,2013
48,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,Zingiberene,Turmerin,3.6039,5.2013,2.7877,1.0552,0.287,"Bhopal, Madhya Pradesh",22.9211,78.303,435.3,2006,7,HPLC-MS,30.4,1557.6,6.99,87.9,19.9,168.9,31892224,2005
49,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,Zingiberene,Turmerin,3.3858,5.1416,2.218,1.4009,0.305,"Bhopal, Madhya Pradesh",23.7359,77.8643,500.0,2020,1,UV-Vis Spectroscopy,22.4,624.5,6.54,82.2,24.0,185.5,31979460,2018
50,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,ar-Turmerone,Turmerin,2.3162,6.4687,2.8794,1.2906,0.444,"Bhopal, Madhya Pradesh",23.3022,77.8087,410.2,2013,1,HPLC,20.8,797.2,6.83,72.0,23.2,229.1,31866264,2012
51,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,3.6515,6.7693,2.692,1.5267,0.309,"Bhopal, Madhya Pradesh",22.8263,77.7365,436.4,2007,9,HPLC-MS,24.9,1357.9,6.74,79.1,24.9,175.3,31775088,2006
52,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,ar-Turmerone,Turmerin,3.4628,6.8774,3.3158,1.3684,0.492,"Bhopal, Madhya Pradesh",23.7461,77.8865,491.0,2020,9,HPLC,25.7,1208.0,6.52,97.1,25.2,178.1,32129149,2018
53,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,4.3971,6.2188,2.6458,1.0967,0.489,"Bhopal, Madhya Pradesh",23.092,78.2239,498.4,2007,6,HPLC,32.6,1628.6,6.73,75.8,18.0,195.4,32005505,2006
54,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,Zingiberene,Turmerin,3.305,6.115,2.1117,1.5236,0.153,"Bhopal, Madhya Pradesh",24.054,78.1101,410.6,2011,11,HPLC,21.8,1002.1,6.63,98.8,23.4,179.0,31989923,2010
55,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,3.5896,4.6496,2.4255,1.3507,0.465,"Bhopal, Madhya Pradesh",22.946,77.83,537.3,2006,3,HPLC,21.1,875.8,6.73,101.4,18.3,190.1,31758351,2006
56,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,beta-Sesquiphellandrene,Turmerin,3.5186,6.3488,2.7034,1.171,0.378,"Pune, Maharashtra",18.6343,74.3414,750.1,2008,9,HPLC,28.4,1688.1,6.54,91.8,26.2,186.9,25508442,2006
57,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,Zingiberene,Turmerin,2.7056,5.3086,2.1766,1.2068,0.42,"Pune, Maharashtra",18.6116,73.9937,597.6,2013,1,GC-MS,20.1,1010.1,6.23,99.8,20.1,187.8,25190498,2012
58,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,Zingiberene,Turmerin,3.6919,7.6143,3.1069,1.3903,0.116,"Pune, Maharashtra",18.1678,73.702,555.5,2021,8,GC-MS,32.4,2395.7,6.52,92.2,25.5,207.9,25435443,2019
59,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,4.8604,5.9529,3.0982,1.1475,0.181,"Pune, Maharashtra",18.4334,73.4856,665.0,2016,9,HPLC-MS,30.9,1888.0,6.63,106.3,19.1,199.5,25418090,2014
60,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,4.6973,3.8434,3.0229,1.281,0.465,"Pune, Maharashtra",18.6693,73.749,635.2,2009,4,HPLC,27.3,1739.2,7.43,104.2,35.0,208.2,25419559,2008
61,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,Zingiberene,Turmerin,4.0475,5.8745,2.9278,1.0089,0.225,"Pune, Maharashtra",18.6599,73.4739,737.7,2007,10,HPLC,27.2,1689.8,6.58,93.4,18.6,199.5,25241157,2005
62,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,Zingiberene,Turmerin,3.1283,5.3311,2.3437,1.1935,0.342,"Pune, Maharashtra",18.5706,74.1641,570.5,2009,1,HPLC,20.3,1043.2,6.49,105.7,22.4,174.3,25211272,2009
63,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,Zingiberene,Turmerin,4.2489,6.2626,2.686,1.1575,0.259,"Pune, Maharashtra",18.6511,73.2038,670.7,2019,6,HPLC,31.8,2182.7,6.44,99.1,21.8,214.6,25558464,2018
64,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,beta-Sesquiphellandrene,Turmerin,3.1194,6.7197,2.852,1.1518,0.377,"Pune, Maharashtra",18.6345,74.4415,578.7,2006,9,HPLC,29.9,2008.0,6.8,65.2,32.4,197.2,25250314,2005
65,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,Zingiberene,Turmerin,2.7118,5.1663,2.076,1.4568,0.231,"Pune, Maharashtra",18.4907,74.451,696.3,2012,1,HPLC,21.5,1179.8,6.86,107.7,16.3,232.7,25515825,2011
66,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,ar-Turmerone,Turmerin,4.4144,8.0089,3.1871,1.0106,0.129,"Pune, Maharashtra",18.9306,74.1641,657.0,2022,9,GC-MS,29.7,1875.2,6.06,89.2,15.3,223.3,25498327,2021
67,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,Zingiberene,Turmerin,3.0949,6.1225,3.5759,1.3635,0.308,"Jorhat, Assam",27.2426,94.5029,65.6,2007,5,HPLC-MS,28.9,2391.0,5.34,104.5,24.9,186.9,26992580,2005
68,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,Zingiberene,Turmerin,3.5515,4.9059,2.9237,1.4171,0.209,"Jorhat, Assam",26.9192,94.1188,163.1,2020,5,HPLC,25.1,2464.3,4.94,116.6,24.8,191.0,27204842,2019
69,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,Zingiberene,Turmerin,3.9539,6.662,2.9428,1.2105,0.417,"Jorhat, Assam",26.4553,94.1326,127.5,2014,7,HPLC-MS,26.5,3266.3,5.07,111.9,20.3,237.9,26975028,2014
70,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,ar-Turmerone,Turmerin,4.1418,6.9819,2.9294,1.0692,0.289,"Jorhat, Assam",26.913,93.8822,123.9,2014,8,GC-MS,27.8,3056.8,4.74,97.3,28.5,219.2,27080763,2013
71,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,4.0607,5.762,2.6791,1.4481,0.206,"Jorhat, Assam",26.3564,94.2433,46.8,2011,11,HPLC-MS,19.4,1466.7,4.59,108.9,37.9,193.9,27005125,2010
72,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,3.128,6.8948,3.5326,1.3767,0.121,"Jorhat, Assam",26.5898,94.5392,185.8,2013,8,HPLC,25.2,2455.8,4.69,135.0,27.5,229.3,26908590,2012
73,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,Zingiberene,Turmerin,3.28,7.0548,2.8644,1.3604,0.26,"Jorhat, Assam",26.3001,93.8011,99.4,2012,6,HPLC,27.5,2847.5,5.02,116.5,20.4,213.4,26933061,2010
74,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,3.4444,5.4401,2.6954,1.125,0.43,"Jorhat, Assam",26.3856,94.2219,139.0,2010,6,HPLC,27.6,2656.7,5.04,108.2,28.5,229.1,27181081,2008
75,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,Zingiberene,Turmerin,3.9456,4.5329,2.4448,1.0571,0.356,"Jorhat, Assam",26.808,94.1711,118.3,2009,4,GC-MS,25.1,1974.7,4.97,121.0,23.5,215.3,27038502,2008
76,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,Zingiberene,Turmerin,4.2296,2.7157,2.4625,1.1961,0.211,"Jorhat, Assam",26.6441,94.1325,109.9,2005,4,HPLC,21.5,2023.1,5.09,108.6,27.6,230.0,26862700,2005
77,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,4.0112,3.9354,2.578,1.3774,0.193,"Jorhat, Assam",26.7647,94.1308,34.4,2009,3,HPLC-MS,18.2,1465.6,4.82,129.7,24.5,180.1,26889344,2009
78,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,Zingiberene,Turmerin,2.4551,4.6811,2.2388,1.3854,0.108,"Tirupati, Andhra Pradesh",13.3233,79.2222,249.3,2008,12,HPLC-MS,24.4,613.2,6.87,95.9,12.6,196.9,31423030,2008
79,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,3.2371,4.6778,2.4543,1.2474,0.284,"Tirupati, Andhra Pradesh",13.8589,79.1611,310.9,2005,5,HPLC-MS,28.8,1010.3,7.32,78.5,16.8,186.3,31621391,2005
80,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,1.9864,4.3191,1.5544,1.3511,0.16,"Tirupati, Andhra Pradesh",13.2285,79.4855,320.7,2013,1,UV-Vis Spectroscopy,23.7,505.4,7.1,78.0,23.0,155.8,31751859,2013
81,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,Zingiberene,Turmerin,3.883,5.0632,2.3237,1.5353,0.104,"Tirupati, Andhra Pradesh",13.6266,79.9166,277.1,2015,1,HPLC,23.1,418.2,7.39,68.2,12.4,183.6,31823146,2014
82,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,Zingiberene,Turmerin,4.0586,6.1632,3.479,1.3473,0.471,"Tirupati, Andhra Pradesh",13.373,79.1416,212.0,2013,9,HPLC,30.5,1024.5,6.91,88.2,18.6,148.7,31379050,2013
83,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,Zingiberene,Turmerin,4.7421,6.1845,2.3018,1.0044,0.411,"Tirupati, Andhra Pradesh",13.4216,79.0156,126.2,2022,6,UV-Vis Spectroscopy,29.4,1143.0,6.95,79.4,29.2,145.8,31750339,2021
84,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,3.8303,7.1565,2.7744,1.6679,0.138,"Tirupati, Andhra Pradesh",13.7817,79.0884,350.3,2015,9,UV-Vis Spectroscopy,30.4,965.1,7.24,86.9,19.2,140.2,31677298,2015
85,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,Zingiberene,Turmerin,3.1767,5.7956,3.024,1.4243,0.104,"Tirupati, Andhra Pradesh",13.9006,79.4615,180.7,2020,8,GC-MS,32.0,1189.2,6.72,95.5,16.9,175.2,31475089,2020
86,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Kaempferol,ar-Turmerone,Turmerin,3.4329,4.3239,2.1649,1.2295,0.292,"Tirupati, Andhra Pradesh",13.4171,79.6481,379.8,2015,3,GC-MS,25.3,760.2,6.68,80.1,26.8,145.0,31623122,2013
87,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,beta-Sesquiphellandrene,Turmerin,4.5174,6.044,2.6607,1.295,0.159,"Tirupati, Andhra Pradesh",13.4307,79.4554,454.2,2008,8,HPLC,35.3,1261.4,7.29,72.5,23.1,169.9,31390987,2008
88,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,beta-Sesquiphellandrene,Turmerin,4.3676,5.5568,2.6394,1.2521,0.433,"Tirupati, Andhra Pradesh",13.8866,79.185,113.3,2022,4,HPLC,29.2,879.9,6.74,73.5,18.7,215.4,31427020,2021
89,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,Zingiberene,Turmerin,4.3355,4.6529,2.9116,1.5312,0.401,"Bhubaneswar, Odisha",20.3423,85.2695,61.2,2014,3,HPLC-MS,23.3,1238.6,5.94,90.6,23.0,181.2,24988800,2014
